2.668494428144662090e-01,5.758413389522302195e-01,1.573092182333037381e-01
2.241561852813027042e-02,9.728207064742033783e-01,4.763674997666654011e-03
3.008206349229388676e-01,5.060817965013273412e-01,1.930975685757336524e-01
9.221056134512868319e-01,7.429350789131587696e-02,3.600878657397087786e-03
7.331438148822685963e-02,9.161109852800095599e-01,1.057463323176363081e-02
2.135494814948256381e-02,9.769832625737550069e-01,1.661789276762631580e-03
4.491338257385206478e-02,9.476375006369019971e-01,7.449116789245838373e-03
5.311640395724293029e-02,9.453219506782544190e-01,1.561645364502677567e-03
1.936699763141493807e-02,9.777902032304430779e-01,2.842799138141961866e-03
1.362031850233325625e-01,8.156639836416025302e-01,4.813283133506469219e-02
2.789828315972414305e-02,1.582796564792839089e-01,8.138220603609921389e-01
4.666308296545026029e-07,4.575782656361745288e-07,9.999990757909047456e-01
4.811532229543576120e-06,4.521863675761142440e-06,9.999906666040946357e-01
3.615799253779141634e-03,1.462658083277066506e-02,9.817576199134502302e-01
9.475532253009840561e-03,3.132230507860751106e-02,9.592021626683827629e-01
4.120737884896542750e-07,3.801166727274572429e-07,9.999992078095387704e-01
2.583816072077405393e-02,5.824718991697663134e-02,9.159146493622495333e-01
3.674251976775687769e-06,3.345330172087225912e-06,9.999929804178510073e-01
4.447580114169133272e-07,4.167413516692125036e-07,9.999991385006368194e-01
2.550298353260673351e-06,2.384321261165296495e-06,9.999950653803856282e-01
2.724515608090783506e-06,2.501420391948400613e-06,9.999947740639999472e-01
8.024210121746452645e-05,2.340980422293556778e-03,9.975787774764887095e-01
1.842367137463462867e-01,7.285259752633213015e-01,8.723731099033243952e-02
1.701723329362948012e-01,7.557496080079978418e-01,7.407805905570771787e-02
6.511439230471072204e-02,9.158911368564407463e-01,1.899447083884860457e-02
6.512329434245496540e-02,9.170892683344317176e-01,1.778743732311327194e-02
2.702720284496333281e-01,5.687702564448335885e-01,1.609577151055333333e-01
8.103744746794887266e-02,8.951051921623969232e-01,2.385736036965429088e-02
3.068177258430059284e-01,4.917628397460087619e-01,2.014194344109852541e-01
